en,fr,it,es,de,ko,kana
---,---,---,---,---,---,---
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
short test route,short test route,short test route,short test route,short test route,short test route,short test route
,,,,,,
"The intro of the game
",Player walks infinitely until they choose: Lucea or Nerine,Player walks infinitely until they choose: Lucea or Nerine,Player walks infinitely until they choose: Lucea or Nerine,Player walks infinitely until they choose: Lucea or Nerine,Player walks infinitely until they choose: Lucea or Nerine,Player walks infinitely until they choose: Lucea or Nerine
A small inn standing just before  Asteer Mountain.,,,,,,
The Inn at the foot of Asteer Mountain,The Inn at the foot of Asteer Mountain,The Inn at the foot of Asteer Mountain,The Inn at the foot of Asteer Mountain,The Inn at the foot of Asteer Mountain,The Inn at the foot of Asteer Mountain,The Inn at the foot of Asteer Mountain
The player's room in the Slumbering Log,The player's room in the Slumbering Log,The player's room in the Slumbering Log,The player's room in the Slumbering Log,The player's room in the Slumbering Log,The player's room in the Slumbering Log,The player's room in the Slumbering Log
,,,,,,
